"BLOCK_ID","TERMINAL_ID","BRANCH_ID","BLOCK_CODE","SLOT_COUNT","ROW_COUNT","MAX_TIER","POS_X","POS_Y","ORIENTATION","STACK_LEFT_RIGHT","STACK_ORIENTATION","STATUS","CREATEDBY","CREATEDON","MODIFIEDBY","MODIFIEDON","IS_REPAIR","IS_PRINCIPAL","IS_GRADING","IS_FULLEMPTY","ROTATION","CAPACITY_TEUS","NUMBERING_FORMAT"
34,1,3,TEST,7,4,4,207,966,H,L,H,true,Maghvirul.Huda@meratus.com,2026-09-02 11:19:58.268,,,false,false,false,false,0,112,SEQUENTIAL
3,1,1,"1A",10,6,6,2693,603,H,R,V,true,system,2026-05-22 02:27:18.649,Rizqi.Azhar@meratus.com,2026-09-03 08:45:47.618,false,true,false,false,0,360,ODD-EVEN
20,1,1,"1B",20,6,6,2283,761,H,R,V,true,Bimo.Sarwono@meratus.com,2026-08-20 13:45:51.942,Rizqi.Azhar@meratus.com,2026-09-03 08:45:57.946,false,false,false,false,0,720,ODD-EVEN
12,1,1,"1C",13,5,6,2698,917,H,R,V,true,system,2026-05-26 01:31:23.477,Rizqi.Azhar@meratus.com,2026-09-03 08:46:05.741,false,false,false,false,0,390,ODD-EVEN
13,1,1,"2A",12,6,6,2285,604,H,R,V,true,system,2026-05-26 01:31:41.194,Rizqi.Azhar@meratus.com,2026-09-03 08:46:14.846,false,false,false,false,0,432,ODD-EVEN
19,1,1,"2B",44,6,6,759,759,H,R,V,true,Bimo.Sarwono@meratus.com,2026-08-18 15:22:45.973,Rizqi.Azhar@meratus.com,2026-09-03 08:46:24.915,false,false,false,false,0,1572,ODD-EVEN
21,1,1,"2C",34,5,6,1037,926,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-20 14:27:15.139,Rizqi.Azhar@meratus.com,2026-09-03 08:46:33.468,false,false,false,false,0,1020,ODD-EVEN
22,1,1,"3A",44,6,6,756,598,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-20 14:27:52.026,Rizqi.Azhar@meratus.com,2026-09-03 08:46:41.069,false,false,false,false,0,1584,ODD-EVEN
23,1,1,"3C",11,5,6,692,927,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-20 14:28:16.997,Rizqi.Azhar@meratus.com,2026-09-03 08:46:48.435,false,false,false,false,0,330,ODD-EVEN
9,1,2,A,10,6,6,619,91,V,R,H,true,system,2026-05-26 01:29:45.011,Rizqi.Azhar@meratus.com,2026-09-03 08:47:12.404,false,false,false,false,90,360,ODD-EVEN
10,1,2,B,11,11,6,244,268,H,R,V,true,system,2026-05-26 01:29:56.408,Rizqi.Azhar@meratus.com,2026-09-03 08:47:18.961,false,false,false,false,0,726,ODD-EVEN
11,1,2,C,11,11,6,242,544,H,R,V,true,system,2026-05-26 01:30:37.733,Rizqi.Azhar@meratus.com,2026-09-03 08:52:43.191,false,false,false,false,0,726,ODD-EVEN
8,1,3,"1A",26,6,6,352,1089,H,R,V,true,system,2026-05-25 08:38:51.082,Rizqi.Azhar@meratus.com,2026-09-03 08:53:11.719,false,false,false,false,0,936,SEQUENTIAL
1,1,3,"1B",26,6,6,351,1091,H,R,V,true,system,2026-05-21 08:54:47.238,Rizqi.Azhar@meratus.com,2026-09-03 08:53:24.416,false,false,false,false,0,936,ODD-EVEN
24,1,3,"1C",26,6,6,352,1227,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:14:51.527,Rizqi.Azhar@meratus.com,2026-09-03 08:53:32.761,false,false,false,false,0,936,ODD-EVEN
25,1,3,"2A",26,6,6,1164,959,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:15:37.512,Rizqi.Azhar@meratus.com,2026-09-03 08:59:09.916,false,false,false,false,0,936,ODD-EVEN
26,1,3,"2B",26,6,6,1162,1090,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:16:43.266,Rizqi.Azhar@meratus.com,2026-09-03 08:59:20.033,false,false,false,false,0,936,ODD-EVEN
27,1,3,"2C",26,6,6,1161,1227,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:17:17.085,Rizqi.Azhar@meratus.com,2026-09-03 08:59:26.831,false,false,false,false,0,936,ODD-EVEN
28,1,3,"3A",25,6,6,1978,962,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:18:03.835,Rizqi.Azhar@meratus.com,2026-09-03 08:59:33.155,false,false,false,false,0,900,ODD-EVEN
29,1,3,"3B",25,6,6,1977,1092,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:19:02.327,Rizqi.Azhar@meratus.com,2026-09-03 08:59:39.609,false,false,false,false,0,828,ODD-EVEN
30,1,3,"3C",25,6,6,1978,1229,H,R,V,true,Rizqi.Azhar@meratus.com,2026-08-24 08:19:53.617,Rizqi.Azhar@meratus.com,2026-09-03 08:59:46.471,false,false,false,false,0,900,ODD-EVEN
