"PARAM_ID","TERMINAL_ID","BRANCH_ID","PARAM_NAME","PRINCIPAL","PRINCIPAL_SCORE","CONT_CONDITION","CONT_CONDITION_SCORE","CONT_FILL","CONT_FILL_SCORE","OPERATION_TYPE","OPERATION_TYPE_SCORE","CONT_SIZE","CONT_SIZE_SCORE","CONT_GRADE","CONT_GRADE_SCORE","POL","POD","VESSEL","VOYAGE","WEIGHT_START","WEIGHT_END","VESSEL_VOYAGE_SCORE","WEIGHT_RANGE_SCORE","ROUTE_SCORE","CONT_TYPE_SCORE","EFFECTIVE_DATE_FROM","EFFECTIVE_DATE_TO","PARAM_COLOR","STATUS","CREATEDBY","CREATEDON","MODIFIEDBY","MODIFIEDON"
6,1,1,All Grade,ALL,1,ALL,1,F,1,L,0,"",0,"",0,"","","","",0,0,0,0,0,0,2026-05-20,2027-05-20,#B70C00,true,Della,2026-05-25 07:06:37.297,Bimo.Sarwono@meratus.com,2026-08-18 15:21:12.891
10,1,1,Full 20 ft,"",0,AV,1,F,1,L,0,"20",1,"",0,"","","","",0,0,0,0,0,0,2026-05-20,2027-05-20,#F1984A,true,Della,2026-05-25 07:06:37.297,Bimo.Sarwono@meratus.com,2026-08-18 15:21:19.714
4,1,1,Grading General,ALL,1,AV,1,E,1,,,ALL,1,GG,1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
5,1,1,Grading FoodGrade,ALL,1,ALL,1,E,1,,,,,FG,1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
9,1,1,Full 40 Ft,,,AV,1,F,1,,,"40",1,,,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
11,1,1,"GG, MK",,,AV,1,E,,,,,,"GG,MK",1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
3,1,1,Grading Premium,ALL,1,ALL,1,E,1,L,1,ALL,1,PG,1,,,,,,,,,,,2026-05-20,2027-05-20,#0F8A96,true,system,2026-05-25 07:06:37.297,,
12,1,2,Grading Premium,ALL,1,ALL,1,E,1,L,1,ALL,1,PG,1,,,,,,,,,,,2026-05-20,2027-05-20,#0F8A96,true,system,2026-05-25 07:06:37.297,,
13,1,2,Grading General,ALL,1,AV,1,E,1,,,ALL,1,GG,1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
14,1,2,Grading FoodGrade,ALL,1,ALL,1,E,1,,,,,FG,1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
15,1,2,All Grade,ALL,1,ALL,1,F,1,,,,,,,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
16,1,2,All Grade Dmg,,,DM,1,,,,,,,,,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
17,1,2,Grade Premium 40,,,AV,1,F,1,,,"40",1,PG,1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
18,1,2,Full 40 Ft,,,AV,1,F,1,,,"40",1,,,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
19,1,2,Full 20 ft,,,AV,1,F,1,,,"20",1,,,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
20,1,2,"GG, MK",,,AV,1,E,,,,,,"GG,MK",1,,,,,,,,,,,2026-05-20,2027-05-20,#6726B7,true,Della,2026-05-25 07:06:37.297,,
1,1,3,Container HMM,HMM,1,AV,10,E,1,L,1,"40",1,PG,1,IDSUB,IDJKT,WGO,BGX023N,1,1,1,1,1,10,2026-05-25,2026-05-31,#6726B7,true,system,2026-05-25 06:39:42.920,Maghvirul.Huda@meratus.com,2026-05-26 01:58:09.824
8,1,1,Grade Premium 40,"",0,AV,1,F,1,L,0,"40",1,PG,1,"","","","",0,0,0,0,0,0,2026-05-20,2027-05-20,#FF7700,true,Della,2026-05-25 07:06:37.297,Maghvirul.Huda@meratus.com,2026-05-28 09:38:25.080
7,1,1,All Grade Dmg,"",0,DM,1,F,0,L,0,"",0,"",0,"","","","",0,0,0,0,0,0,2026-05-20,2027-05-20,#B70C00,true,Della,2026-05-25 07:06:37.297,Maghvirul.Huda@meratus.com,2026-05-28 09:38:32.397
22,1,1,Rute Jakarta Belawan,"",0,"",0,F,0,L,0,"",0,"",0,IDJKT,IDBLW,"","",0,0,0,0,0,0,,,#B70C00,true,Della.Sandi@meratus.com,2026-06-17 09:28:55.596,,
