"SEQ_ITEM","PORT_CODE","BRANCH","CONTNO","NOPOL","BLOK","SLOT","ROW","TIER","CONTSIZE","CONTTYPE","CONTOWNER","CONTSTATUS","PRINCIPAL","DG_FLAG","HOLD_FLAG","DMG_FLAG","OD_FLAG","FREEUSED_FLAG","FULLMT","SEALNO","WEIGHT","CMDTY_CODE","CMDTY_DESC","VESSEL_VOYAGE","POL","POT","POD","BGKNO","BLNO","DWINO","RESERVE_FIELD","MOVE_TIME","REPO_TIME","VESSEL_OPERATOR","CONT_GRADE","FORM_ID","DOC_ID","KADE","CREATEDON","CREATEDBY","MODIFIEDBY","MODIFIEDON"
2,"1","2",HPCU1000002,NOP02,B,"2","2","1","40",HC,,,ONE,,,DM,,,E,SL0002,12500.00,C02,TEXT,VSL02,SGSIN,IDJKT,IDBLW,BGK02,BL02,DWI02,RES02,"1716700002",1716701002,ONE,GG,,,,,,,
3,"1","3",MSCU1000003,NOP03,C,"3","3","2","20",RF,,,CMA,,,AV,,,F,SL0003,13000.00,C03,CHEM,VSL03,MYTPP,IDJKT,IDSRG,BGK03,BL03,DWI03,RES03,"1716700003",1716701003,CMA,MK,,,,,,,
4,"1","1",MRLU1000004,NOP04,A,"4","4","2","40",OT,,,EVG,,,DM,,,E,SL0004,13500.00,C04,WOOD,VSL04,THBKK,IDJKT,IDSUB,BGK04,BL04,DWI04,RES04,"1716700004",1716701004,EVG,FG,,,,,,,
5,"1","2",MRTU1000005,NOP05,B,"5","5","3","20",GP,,,HPL,,,AV,,,F,SL0005,14000.00,C05,MACH,VSL05,VNSGN,IDJKT,IDBLW,BGK05,BL05,DWI05,RES05,"1716700005",1716701005,HPL,PG,,,,,,,
6,"1","3",HPCU1000006,NOP06,C,"6","1","3","40",HC,,,MSK,,,DM,,,E,SL0006,14500.00,C06,PAPER,VSL06,CNSHA,IDJKT,IDSRG,BGK06,BL06,DWI06,RES06,"1716700006",1716701006,MSK,GG,,,,,,,
7,"1","1",MSCU1000007,NOP07,A,"7","2","4","20",RF,,,ONE,,,AV,,,F,SL0007,15000.00,C07,STEEL,VSL07,KRPUS,IDJKT,IDSBY,BGK07,BL07,DWI07,RES07,"1716700007",1716701007,ONE,MK,,,,,,,
8,"1","2",MRLU1000008,NOP08,B,"8","3","4","40",OT,,,CMA,,,DM,,,E,SL0008,15500.00,C08,FROZ,VSL08,HKHKG,IDJKT,IDSUB,BGK08,BL08,DWI08,RES08,"1716700008",1716701008,CMA,FG,,,,,,,
9,"1","3",MRTU1000009,NOP09,C,"9","4","5","20",GP,,,EVG,,,AV,,,F,SL0009,16000.00,C09,RICE,VSL09,TWKHH,IDJKT,IDBLW,BGK09,BL09,DWI09,RES09,"1716700009",1716701009,EVG,PG,,,,,,,
10,"1","1",HPCU1000010,NOP10,A,"10","5","5","40",HC,,,HPL,,,DM,,,E,SL0010,16500.00,C10,PLAS,VSL10,JPTYO,IDJKT,IDSRG,BGK10,BL10,DWI10,RES10,"1716700010",1716701010,HPL,GG,,,,,,,
11,"1","2",MSCU1000011,NOP11,B,"1","1","1","20",GP,,,MSK,,,AV,,,F,SL0011,17000.00,C11,FOOD,VSL11,SGSIN,IDJKT,IDSBY,BGK11,BL11,DWI11,RES11,"1716700011",1716701011,MSK,MK,,,,,,,
