"SEQ_ITEM","TERMINAL_ID","BRANCH_ID","PARAM_ID","BLOCK_ID","SLOT","ROW","CREATEDBY","CREATEDON","MODIFIEDBY","MODIFIEDON"
46,1,1,6,12,"1","1",della,,,
47,1,1,6,12,"1","2",della,,,
48,1,1,6,12,"1","3",della,,,
49,1,1,6,12,"1","4",della,,,
50,1,1,6,12,"1","5",della,,,
56,1,1,8,12,"10","1",della,,,
57,1,1,8,12,"10","2",della,,,
58,1,1,8,12,"10","3",della,,,
59,1,1,8,12,"10","4",della,,,
60,1,1,8,12,"10","5",della,,,
51,1,1,7,13,"1","1",della,,,
52,1,1,7,13,"1","2",della,,,
53,1,1,7,13,"1","3",della,,,
54,1,1,7,13,"1","4",della,,,
55,1,1,7,13,"1","5",della,,,
61,1,1,9,13,"10","1",della,,,
62,1,1,9,13,"10","2",della,,,
63,1,1,9,13,"10","3",della,,,
64,1,1,9,13,"10","4",della,,,
65,1,1,9,13,"10","5",della,,,
66,1,1,9,13,"15","1",della,,,
67,1,1,9,13,"15","2",della,,,
68,1,1,9,13,"15","3",della,,,
69,1,1,9,13,"15","4",della,,,
70,1,1,9,13,"15","5",della,,,
71,1,2,4,9,"1","1",della,,,
72,1,2,4,9,"1","2",della,,,
73,1,2,4,9,"1","3",della,,,
74,1,2,4,9,"1","4",della,,,
75,1,2,4,9,"1","5",della,,,
76,1,2,4,9,"2","1",della,,,
77,1,2,4,9,"2","2",della,,,
78,1,2,4,9,"2","3",della,,,
79,1,2,4,9,"2","4",della,,,
80,1,2,4,9,"2","5",della,,,
81,1,2,4,9,"3","1",della,,,
82,1,2,4,9,"3","2",della,,,
83,1,2,4,9,"3","3",della,,,
84,1,2,4,9,"3","4",della,,,
85,1,2,4,9,"3","5",della,,,
86,1,2,4,9,"4","1",della,,,
87,1,2,4,9,"4","2",della,,,
88,1,2,4,9,"4","3",della,,,
121,1,2,7,11,"1","1",della,,,
122,1,2,7,11,"1","2",della,,,
123,1,2,7,11,"1","3",della,,,
124,1,2,7,11,"1","4",della,,,
125,1,2,7,11,"1","5",della,,,
131,1,2,9,11,"10","1",della,,,
132,1,2,9,11,"10","2",della,,,
133,1,2,9,11,"10","3",della,,,
134,1,2,9,11,"10","4",della,,,
135,1,2,9,11,"10","5",della,,,
136,1,2,9,11,"15","1",della,,,
137,1,2,9,11,"15","2",della,,,
138,1,2,9,11,"15","3",della,,,
139,1,2,9,11,"15","4",della,,,
140,1,2,9,11,"15","5",della,,,
1,1,1,4,3,"1","1",della,,,
2,1,1,4,3,"1","2",della,,,
3,1,1,4,3,"1","3",della,,,
4,1,1,4,3,"1","4",della,,,
5,1,1,4,3,"1","5",della,,,
