"SEQ_ITEM","DATE","PORT_CODE","BRANCH","BLOK","BLOCK_CAPACITY","COUNT_TOTALBOX","COUNT_TEUS","BLOCK_YOR","COUNT_20_FULL","COUNT_40_FULL","COUNT_20_EMPTY","COUNT_40_EMPTY","WORKER_UPD_ACTIVITY_ON","COUNT_BYGRADE","CREATEDON","CREATEDBY","MODIFIEDON","MODIFIEDBY"
1,2026-08-21,IDJKT,JKT56,"1A",780,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
2,2026-08-21,IDJKT,JKT56,"1B",780,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
3,2026-08-21,IDJKT,JKT56,Block Z,0,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
4,2026-08-21,IDJKT,JKT56,Block ZZ,0,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
5,2026-08-21,IDJKT,JKT56,C,0,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
6,2026-08-21,IDJKT,JKT56,D,0,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
7,2026-08-21,IDJKT,JKT56,Test,375,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
8,2026-08-21,IDJKT,JKT56,testb,0,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
9,2026-08-21,IDJKT,JKT64,"1-A",300,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
10,2026-08-21,IDJKT,JKT64,"1-B",600,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
11,2026-08-21,IDJKT,JKT64,"1-C",325,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
12,2026-08-21,IDJKT,JKT64,"2-A",360,0,0,0.0000,0,0,0,0,2026-08-21 00:56:19.636,"",2026-08-21 00:56:19.636,DAILY_YOR_SHAPSHOT_WORKER,,
